id,name,strDrinkAlternate,strCategory,strArea,strMealThumb,strYoutube,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient16,strIngredient17,strIngredient18,strIngredient19,strIngredient20,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure16,strMeasure17,strMeasure18,strMeasure19,strMeasure20,strSource
52940,Brown Stew Chicken,,Chicken,Jamaican,https://www.themealdb.com/images/media/meals/sypxpx1515365095.jpg,https://www.youtube.com/watch?v=_gFB1fkNhXs,Chicken,Tomato,Onions,Garlic Clove,Red Pepper,Carrots,Lime,Thyme,Allspice,Soy Sauce,Cornstarch,Coconut Milk,Vegetable Oil,,,,,,,,1 whole,1 chopped,2 chopped,2 chopped,1 chopped,1 chopped,1,2 tsp,1 tsp ,2 tbs,2 tsp,2 cups ,1 tbs,,,,,,,,http://www.geniuskitchen.com/recipe/authentic-jamaican-brown-stew-chicken-347996
52846,Chicken & mushroom Hotpot,,Chicken,British,https://www.themealdb.com/images/media/meals/uuuspp1511297945.jpg,https://www.youtube.com/watch?v=bXKWu4GojNI,Butter,Onion,Mushrooms,Plain Flour,Chicken Stock Cube,Nutmeg,Mustard Powder,Chicken,Sweetcorn,Potatoes,Butter,,,,,,,,,,50g,1 chopped,100g ,40g,1,pinch,pinch,250g,2 Handfuls,2 large,1 knob,,,,,,,,,,https://www.bbcgoodfood.com/recipes/chicken-mushroom-hot-pot
52796,Chicken Alfredo Primavera,,Chicken,Italian,https://www.themealdb.com/images/media/meals/syqypv1486981727.jpg,https://www.youtube.com/watch?v=qCIbq8HywpQ,Butter,Olive Oil,Chicken,Salt,Squash,Broccoli,mushrooms,Pepper,onion,garlic,red pepper flakes,white wine,milk,heavy cream,Parmesan cheese,bowtie pasta,Salt,Pepper,Parsley,,2 tablespoons,3 tablespoons,5 boneless,1 teaspoon,1 cut into 1/2-inch cubes,1 Head chopped,8-ounce sliced,1 red,1 chopped,3 cloves,1/2 teaspoon,1/2 cup,1/2 cup,1/2 cup,1 cup grated,16 ounces,pinch,pinch ,chopped,,
52934,Chicken Basquaise,,Chicken,French,https://www.themealdb.com/images/media/meals/wruvqv1511880994.jpg,https://www.youtube.com/watch?v=emfm6TwsVhg,Chicken,Butter,Olive Oil,Red Onions,Red Pepper,Chorizo,Sun-Dried Tomatoes,Garlic,Basmati Rice,Tomato Puree,Paprika,Bay Leaves,Thyme,Chicken Stock,Dry White Wine,Lemons,Black Olives,Salt,Pepper,,1.5kg,25g,6 tblsp,2 sliced,3 Large,130g,8,6 cloves sliced,300g,drizzle,½ tsp,4,Handful,350ml,180g,2,100g ,to serve,to serve,,https://www.rivercottage.net/recipes/chicken-basquaise
52956,Chicken Congee,,Chicken,Chinese,https://www.themealdb.com/images/media/meals/1529446352.jpg,https://www.youtube.com/watch?v=kqEfk801E94,Chicken,Salt,Pepper,Ginger Cordial,Ginger,Spring Onions,Rice,Water,Coriander,,,,,,,,,,,,8 oz ,pinch,pinch,1 tsp ,1 tsp ,1 tbs,1/2 cup ,8 cups ,2 oz ,,,,,,,,,,,,https://sueandgambo.com/pages/chicken-congee
52850,Chicken Couscous,,Chicken,Moroccan,https://www.themealdb.com/images/media/meals/qxytrx1511304021.jpg,https://www.youtube.com/watch?v=GZQGy9oscVk,Olive Oil,Onion,Chicken Breast,Ginger,Harissa Spice,Dried Apricots,Chickpeas,Couscous,Chicken Stock,Coriander,,,,,,,,,,,1 tbsp,1 chopped,200g,pinch,2 tblsp ,10,220g,200g,200ml,Handful,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/13139/onepan-chicken-couscous
52765,Chicken Enchilada Casserole,,Chicken,Mexican,https://www.themealdb.com/images/media/meals/qtuwxu1468233098.jpg,https://www.youtube.com/watch?v=EtVkwVKLc_M,Enchilada sauce,shredded Monterey Jack cheese,corn tortillas,chicken breasts,,,,,,,,,,,,,,,,,14 oz jar,3 Cups,6,2,,,,,,,,,,,,,,,,,
52818,Chicken Fajita Mac and Cheese,,Chicken,American,https://www.themealdb.com/images/media/meals/qrqywr1503066605.jpg,https://www.youtube.com/watch?v=bwTSmLTZKNg,macaroni,chicken stock,heavy cream,fajita seasoning,salt,chicken breast,olive oil,onion,red pepper,garlic,cheddar cheese,parsley,,,,,,,,,500g,2 cups,1/2 cup,1 packet,1 tsp,3 diced,2 tbsp,1 small finely diced,2 finely diced,2 cloves minced,1 cup,garnish chopped,,,,,,,,,http://twistedfood.co.uk/chicken-fajita-mac-n-cheese/
52875,Chicken Ham and Leek Pie,,Chicken,British,https://www.themealdb.com/images/media/meals/xrrtss1511555269.jpg,https://www.youtube.com/watch?v=xr-CpPE_lNk,Chicken Stock,Chicken Breast,Butter,Leek,Garlic,Plain Flour,Milk,White Wine,Double Cream,Ham,Sea Salt,Pepper,Plain Flour,Butter,"Free-range Egg, Beaten",Cold Water,"Free-range Egg, Beaten",,,,450ml,3,75g,2 sliced,2 cloves minced,50g,200ml,3 tbs,150ml,150g,spinkling,pinch,350g,200g,1,1 tbls,1,,,,https://www.bbc.co.uk/food/recipes/creamy_chicken_ham_and_03877
52795,Chicken Handi,,Chicken,Indian,https://www.themealdb.com/images/media/meals/wyxwsp1486979827.jpg,https://www.youtube.com/watch?v=IO0issT0Rmc,Chicken,Onion,Tomatoes,Garlic,Ginger paste,Vegetable oil,Cumin seeds,Coriander seeds,Turmeric powder,Chilli powder,Green chilli,Yogurt,Cream,fenugreek,Garam masala,Salt,,,,,1.2 kg,5 thinly sliced,2 finely chopped,8 cloves chopped,1 tbsp,¼ cup,2 tsp,3 tsp,1 tsp,1 tsp,2,1 cup,¾ cup,3 tsp Dried,1 tsp,To taste,,,,,
52831,Chicken Karaage,,Chicken,Japanese,https://www.themealdb.com/images/media/meals/tyywsw1505930373.jpg,https://www.youtube.com/watch?v=XivddFddthc,Chicken thigh,Ginger,Garlic,Soy sauce,Sake,Granulated sugar,Potato starch,Vegetable oil,Lemon,,,,,,,,,,,,450 grams Boneless skin,1 tablespoon,1 clove,2 tablespoons,1 tablespoon,2 teaspoon,1/3 cup,1/3 cup,1/3 cup,,,,,,,,,,,,https://norecipes.com/karaage-recipe
52920,Chicken Marengo,,Chicken,French,https://www.themealdb.com/images/media/meals/qpxvuq1511798906.jpg,https://www.youtube.com/watch?v=U33HYUr-0Fw,Olive Oil,Mushrooms,Chicken Legs,Passata,Chicken Stock Cube,Black Olives,Parsley,,,,,,,,,,,,,,1 tbs,300g,4,500g,1,100g ,Chopped,,,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/3146682/chicken-marengo
52879,Chicken Parmentier,,Chicken,French,https://www.themealdb.com/images/media/meals/uwvxpv1511557015.jpg,https://www.youtube.com/watch?v=tiG-xlmeyjg,Potatoes,Butter,Double Cream,Egg Yolks,Butter,Shallots,Carrots,Celery,Garlic Clove,White Wine,Tomato Puree,Tinned Tomatos,Chicken Stock,Chicken,Black Olives,Parsley,Gruyere cheese,,,,1.5kg,30g,5 tblsp ,2,30g,7,3 chopped,2 sticks,1 finely chopped ,4 tbsp,1 tbls,400g,350ml,600g,16,2 tbs,50g,,,,https://www.bbc.co.uk/food/recipes/chicken_parmentier_25434
52832,Coq au vin,,Chicken,French,https://www.themealdb.com/images/media/meals/qstyvs1505931190.jpg,https://www.youtube.com/watch?v=_ise46LADBs,Olive Oil,Bacon,Shallots,Chicken Legs,Chicken Thighs,Chicken Breasts,Garlic,Brandy,Red Wine,Chicken Stock,tomato puree,thyme,Rosemary,bay leaves,parsley,chestnut mushroom,plain flour,butter,,,1½ tbsp,3 rashers (100g) chopped dry-cured,12 small,2 (460g),4 (650g),2 (280g),3 finely chopped,3 tbsp,600ml,150ml,2 tsp,3 sprigs,2 sprigs,2,garnish,250g,2 tbsp,1 tsp,,,https://www.bbcgoodfood.com/recipes/1913655/coq-au-vin
52830,Crock Pot Chicken Baked Tacos,,Chicken,Mexican,https://www.themealdb.com/images/media/meals/ypxvwv1505333929.jpg,https://www.youtube.com/watch?v=oqL0mLDBzS4,Chicken Breasts,Vinaigrette Dressing,Cumin,Smoked Paprika,Garlic,Refried Beans,Hard Taco Shells,Shredded Mexican Cheese,Grape Tomatoes,Jalapeno,Avocado,Green Salsa,Sour Cream,Milk,,,,,,,4 - 6,1 bottle,1½ tablespoon,1 tablespoon,1 teaspoon,1 can,12,2 cups,Halved,Sliced and Seeded,Peeled and Sliced,2 tablespoons,3 tablespoons,1 tablespoon,,,,,,,http://www.nobiggie.net/crock-pot-chicken-baked-tacos/
52951,General Tso's Chicken,,Chicken,Chinese,https://www.themealdb.com/images/media/meals/1529444113.jpg,https://www.youtube.com/watch?v=wWGwz0iBmvU,Chicken Breast,Plain Flour,Egg,Starch,Baking Powder,Salt,Onion Salt,Garlic Powder,Water,Chicken Stock,Duck Sauce,Soy Sauce,Honey,Rice Vinegar,Sesame Seed Oil,Gochujang,Starch,Garlic,Spring Onions,Ginger,1 1/2 ,3/4 cup ,1,2 tbs,1 tbs,1 tsp ,1/2 tsp,1/4 tsp,3/4 cup ,1/2 cup ,1/4 cup,3 tbs,2 tbs,1 tbs,2 tbs,1/2 tbs,2 tbs,1 clove,2 chopped,1 tsp ,https://www.skinnytaste.com/general-tsos-chicken/
52937,Jerk chicken with rice & peas,,Chicken,Jamaican,https://www.themealdb.com/images/media/meals/tytyxu1515363282.jpg,https://www.youtube.com/watch?v=qfchrS2D_v4,Chicken Thighs,Lime,Spring Onions,Ginger,Garlic,Onion,Red Chilli,Thyme,Lime,Soy Sauce,Vegetable Oil,Brown Sugar,Allspice,Basmati Rice,Coconut Milk,Spring Onions,Thyme,Garlic,Allspice,Kidney Beans,12,1/2 ,1  bunch,1 tbs chopped,3 cloves,1/2 ,3 chopped,1/2 teaspoon,Juice of 1,2 tbs,2 tbs,3 tbs,1 tbs,200g,400g,1  bunch,2 sprigs,2 cloves chopped,1 tbs,800g,https://www.bbcgoodfood.com/recipes/2369635/jerk-chicken-with-rice-and-peas
52820,Katsu Chicken curry,,Chicken,Japanese,https://www.themealdb.com/images/media/meals/vwrpps1503068729.jpg,https://www.youtube.com/watch?v=MWzxDFRtVbc,chicken breast,plain flour,egg,breadcrumbs,vegetable oil,sunflower oil,onions,garlic,carrot,plain flour,curry powder,chicken stock,honey,soy sauce,bay leaf,garam masala,,,,,4 pounded to 1cm thickness,2 tablespoons,1 beaten,100g fine,230ml frying,2 tablespoons,2 sliced,5 chopped cloves,2 sliced,2 tablespoons,4 teaspoons,600ml,2 teaspoons,4 teaspoons,1,1 teaspoon,,,,,http://allrecipes.co.uk/recipe/29578/chicken-katsu-curry.aspx
52813,Kentucky Fried Chicken,,Chicken,American,https://www.themealdb.com/images/media/meals/xqusqy1487348868.jpg,https://www.youtube.com/watch?v=PTUxCvCz8Bc,Chicken,Oil,Egg White,Flour,Brown Sugar,Salt,paprika,onion salt,chili powder,black pepper,celery salt,sage,garlic powder,allspice,oregano,basil,marjoram,,,,1 whole,2 quarts neutral frying,1,1 1/2 cups ,1 tablespoon,1 tablespoon,1 tablespoon,2 teaspoons,1 teaspoon,1 teaspoon,1/2 teaspoon,1/2 teaspoon,1/2 teaspoon,1/2 teaspoon,1/2 teaspoon,1/2 teaspoon,1/2 teaspoon,,,,http://www.tablespoon.com/recipes/copycat-kfc-original-style-chicken/97c93d14-9d8c-4bc7-96dc-1e0b37e4fcaa
52945,Kung Pao Chicken,,Chicken,Chinese,https://www.themealdb.com/images/media/meals/1525872624.jpg,https://www.youtube.com/watch?v=QqdcCHQlOe0,Sake,Soy Sauce,Sesame Seed Oil,Corn Flour,Water,Chicken,Chilli Powder,Rice Vinegar,Brown Sugar,Spring Onions,Garlic Clove,Water Chestnut,Peanuts,,,,,,,,2 tbs,2 tbs,2 tbs,2 tbs,2 tbs,500g,1 tbs,1 tsp ,1 tbs,4 Chopped,6 cloves,220g,100g ,,,,,,,,http://allrecipes.co.uk/recipe/1773/kung-pao-chicken.aspx
52782,Lamb tomato and sweet spices,,Chicken,Moroccan,https://www.themealdb.com/images/media/meals/qtwtss1468572261.jpg,https://www.youtube.com/watch?v=vaZb1MnFBgA,olive oil,ginger,garlic,tomatoes,lemon juice,caster sugar,vine leaves,fennel bulb,lamb mince,onion,potato,basmati rice,chopped parsley,coriander,lemon juice,garlic,clove,cinnamon,tomatoes,,2 tbsp,4cm piece finely chopped,2 cloves peeled and chopped,800g peeled and chopped ,2 tbsp,1 tsp,50,1 large,400g,1 medium,1 small peeled and coarsely grated,2 tbsp,2 tbsp,2 tbsp chopped,1 tbsp,2 cloves,½ tsp ground,½ tsp ground ,2 medium,,http://www.ottolenghi.co.uk/recipes/meat/lamb-tomato-and-sweet-spices-shop
52777,Mediterranean Pasta Salad,,Chicken,Italian,https://www.themealdb.com/images/media/meals/wvqpwt1468339226.jpg,https://www.youtube.com/watch?v=e52IL8zYmaE,mozzarella balls,baby plum tomatoes,fresh basil,farfalle,extra virgin olive oil,Green Olives,tuna,salt,pepper,,,,,,,,,,,,200 g,250 g,1  bunch,350 g,3  tablespoons,40 g,200 g,to taste,to taste,,,,,,,,,,,,https://thelemonsqueezy.com/recipe/mediterranean-pasta-salad/
52851,Nutty Chicken Curry,,Chicken,Indian,https://www.themealdb.com/images/media/meals/yxsurp1511304301.jpg,https://www.youtube.com/watch?v=nSQNfZxOdeU,Red Chilli,Ginger,Garlic,Coriander,Sunflower Oil,Chicken Breasts,Peanut Butter,Chicken Stock,Greek Yogurt,,,,,,,,,,,,1 large,0.5,1 large,Bunch,1 tbsp,4,5 tblsp ,150ml,200g,,,,,,,,,,,,https://www.bbcgoodfood.com/recipes/11753/nutty-chicken-curry
52774,Pad See Ew,,Chicken,Thai,https://www.themealdb.com/images/media/meals/uuuspp1468263334.jpg,https://www.youtube.com/watch?v=Ohy1DELF4is,rice stick noodles,dark soy sauce,oyster sauce,soy sauce,white vinegar,sugar,water,peanut oil,garlic,Chicken,Egg,Chinese broccoli,,,,,,,,,6oz/180g,2 tbsp,2 tbsp,2 tsp,2 tsp,2 tsp,2 tbsp,2 tbsp,2 cloves,1 cup,1,4 cups,,,,,,,,,
52780,Potato Gratin with Chicken,,Chicken,Unknown,https://www.themealdb.com/images/media/meals/qwrtut1468418027.jpg,https://www.youtube.com/watch?v=p3u8eiy3yHI,Potatoes,Onions,Olive Oil,Chicken Stock,Creme Fraiche,Parmesan,Chicken Breasts,Bacon,Spinach,Peas,,,,,,,,,,,800g,3,2 tblsp,100ml,1 pot,Topping,4,4,Topping,Topping,,,,,,,,,,,https://www.instagram.com/p/BHxR7hYBJ6P
52933,Rappie Pie,,Chicken,Canadian,https://www.themealdb.com/images/media/meals/ruwpww1511817242.jpg,https://www.youtube.com/watch?v=Ys2kZnTVXAM,Butter,Onions,Chicken Stock,Chicken Breast,Potatoes,Salt,Black Pepper,,,,,,,,,,,,,,2 tbs,2 chopped,4 qt ,1.5kg,4kg,2 tbs,1tbsp,,,,,,,,,,,,,,http://allrecipes.com/recipe/234025/rappie-pie/
52806,Tandoori chicken,,Chicken,Indian,https://www.themealdb.com/images/media/meals/qptpvt1487339892.jpg,https://www.youtube.com/watch?v=-CKvt1KNU74,lemons,paprika,red onions,chicken thighs,vegetable oil,Greek yogurt,ginger,garlic clove,garam masala,ground cumin,chilli powder,turmeric,,,,,,,,,2 Juice,4 tsp,2 finely chopped,16 skinnless,For brushing,300ml ,large piece,4,¾ tsp,¾ tsp,½ tsp,¼ tsp,,,,,,,,,http://www.bbcgoodfood.com/recipes/1660651/tandoori-chicken
52772,Teriyaki Chicken Casserole,,Chicken,Japanese,https://www.themealdb.com/images/media/meals/wvpsxx1468256321.jpg,https://www.youtube.com/watch?v=4aZr5hZXP_s,soy sauce,water,brown sugar,ground ginger,minced garlic,cornstarch,chicken breasts,stir-fry vegetables,brown rice,,,,,,,,,,,,3/4 cup,1/2 cup,1/4 cup,1/2 teaspoon,1/2 teaspoon,4 Tablespoons,2,1 (12 oz.),3 cups,,,,,,,,,,,,
52814,Thai Green Curry,,Chicken,Thai,https://www.themealdb.com/images/media/meals/sstssx1487349585.jpg,https://www.youtube.com/watch?v=LIbKVpBQKJI,potatoes,green beans,sunflower oil,garlic,Thai green curry paste,coconut milk,Thai fish sauce,Sugar,Chicken,lime,basil,Rice,,,,,,,,,225g new,100g ,1 tbsp,1 clove,4 tsp ,400ml,2 tsp,1 tsp,450g boneless,2 fresh kaffir leaves,handfull,Boiled,,,,,,,,,http://www.bbcgoodfood.com/recipes/3235/thai-green-chicken-curry
